number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
70,0.5851195200095564,2025-06-24 08:04:51.329999,2025-06-24 10:08:57.355791,0 days 02:04:06.025792,27,sqrt,0.54463802119894,0.02033681351196554,2,12,338,,COMPLETE
111,0.5853352567764214,2025-06-24 18:04:33.270153,2025-06-24 20:42:08.690148,0 days 02:37:35.419995,26,sqrt,0.8675164751870958,0.017556752452484465,5,16,313,,COMPLETE
98,0.5853383179423046,2025-06-24 14:27:11.332726,2025-06-24 17:12:19.718422,0 days 02:45:08.385696,24,sqrt,0.9677199887393388,0.016241665906076185,8,16,363,,COMPLETE
62,0.5853432759225384,2025-06-24 05:50:26.503923,2025-06-24 08:24:15.710317,0 days 02:33:49.206394,17,log2,0.6620109882893549,0.001029136488511362,4,18,325,,COMPLETE
129,0.5853894111686591,2025-06-24 22:58:36.736354,2025-06-25 01:19:49.438796,0 days 02:21:12.702442,18,sqrt,0.798705035743934,0.029477145209777057,6,12,221,,COMPLETE
6,0.5854810041379589,2025-06-23 17:38:22.410898,2025-06-23 18:45:59.007470,0 days 01:07:36.596572,18,log2,0.8567664087867202,0.03906866450806559,12,8,256,,COMPLETE
96,0.5857791365027236,2025-06-24 13:54:12.832864,2025-06-24 16:23:11.382339,0 days 02:28:58.549475,23,log2,0.6103244113843296,0.018685817436513052,10,11,345,,COMPLETE
11,0.5858285360536581,2025-06-23 18:45:59.022414,2025-06-23 20:29:24.337832,0 days 01:43:25.315418,19,sqrt,0.9081004538747113,0.00408648684254409,2,16,289,,COMPLETE
115,0.5859376098211229,2025-06-24 19:05:05.838760,2025-06-24 21:44:34.987806,0 days 02:39:29.149046,16,log2,0.893578126532937,0.04493488351771602,9,5,320,,COMPLETE
59,0.5860828945208612,2025-06-24 05:18:55.987184,2025-06-24 07:49:35.309737,0 days 02:30:39.322553,27,sqrt,0.709412192824132,0.028436363283421164,7,14,392,,COMPLETE
79,0.586751659589579,2025-06-24 09:52:04.280539,2025-06-24 12:35:25.430684,0 days 02:43:21.150145,26,log2,0.6347321348880341,0.015213157097068742,11,12,305,,COMPLETE
132,0.5868391286568065,2025-06-24 23:41:07.349836,2025-06-25 01:54:45.934832,0 days 02:13:38.584996,28,sqrt,0.7979385198414272,0.012623123107351454,8,16,213,,COMPLETE
13,0.5870598861153096,2025-06-23 18:55:15.974031,2025-06-23 20:55:47.237033,0 days 02:00:31.263002,18,log2,0.8039990224947711,0.007792334140421492,13,5,362,,COMPLETE
18,0.5872131360743429,2025-06-23 19:36:28.626238,2025-06-23 22:02:31.394922,0 days 02:26:02.768684,17,log2,0.7644428511606632,0.03787326762549413,12,13,342,,COMPLETE
14,0.5873478049343519,2025-06-23 19:06:55.324391,2025-06-23 21:06:51.638973,0 days 01:59:56.314582,26,log2,0.9431622086794296,0.04028363801779769,15,15,257,,COMPLETE
24,0.5874320595438864,2025-06-23 21:06:51.652782,2025-06-23 23:24:03.645789,0 days 02:17:11.993007,23,log2,0.6606311662018852,0.03833512738535039,12,15,382,,COMPLETE
